img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.04, pts_middle_encoder: 11.46, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.54
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.15, pts_middle_encoder: 11.52, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.45
img_backbone: 17.24, img_neck: 0.33, pts_voxel_encoder: 7.99, pts_middle_encoder: 11.80, pts_backbone: 1.79, pts_neck: 0.34, pts_bbox_head: 12.46
img_backbone: 17.19, img_neck: 0.33, pts_voxel_encoder: 7.89, pts_middle_encoder: 12.53, pts_backbone: 1.77, pts_neck: 0.34, pts_bbox_head: 12.40
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 8.04, pts_middle_encoder: 11.54, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.39
img_backbone: 17.25, img_neck: 0.33, pts_voxel_encoder: 7.98, pts_middle_encoder: 12.39, pts_backbone: 1.80, pts_neck: 0.33, pts_bbox_head: 12.49
img_backbone: 17.22, img_neck: 0.33, pts_voxel_encoder: 8.00, pts_middle_encoder: 12.65, pts_backbone: 1.80, pts_neck: 0.34, pts_bbox_head: 12.44
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 7.84, pts_middle_encoder: 12.99, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.41
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 7.79, pts_middle_encoder: 13.10, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.20, img_neck: 0.33, pts_voxel_encoder: 4.03, pts_middle_encoder: 5.64, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.40
img_backbone: 17.25, img_neck: 0.34, pts_voxel_encoder: 15.18, pts_middle_encoder: 6.76, pts_backbone: 1.79, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 12.41, pts_middle_encoder: 6.63, pts_backbone: 1.76, pts_neck: 0.34, pts_bbox_head: 12.47
img_backbone: 17.20, img_neck: 0.32, pts_voxel_encoder: 15.00, pts_middle_encoder: 6.44, pts_backbone: 1.76, pts_neck: 0.33, pts_bbox_head: 12.40
img_backbone: 17.21, img_neck: 0.33, pts_voxel_encoder: 16.22, pts_middle_encoder: 6.65, pts_backbone: 1.77, pts_neck: 0.33, pts_bbox_head: 12.44
img_backbone: 17.16, img_neck: 0.33, pts_voxel_encoder: 15.82, pts_middle_encoder: 6.64, pts_backbone: 1.78, pts_neck: 0.33, pts_bbox_head: 12.44
